temperature,humidity,soil_type,soil_moisture
25.4,60,clay,22.1
27.2,65,silt,23.5
29.5,70,sandy,24.7
30.1,75,loam,25.3
28.7,68,clay,24.1
26.3,55,silt,23.8
24.9,62,sandy,22.9
31.2,78,loam,26.0
29.9,74,clay,25.1
28.4,69,silt,24.5
27.0,63,sandy,23.2
25.5,61,loam,22.7
30.0,76,clay,25.4
29.4,73,silt,24.8
26.7,59,sandy,23.6
27.8,64,loam,24.0
25.3,60,clay,22.3
30.2,75,silt,25.2
28.6,68,sandy,24.0
26.9,62,loam,23.4
31.0,77,clay,25.9
28.8,70,silt,24.2
27.5,66,sandy,23.8
29.1,72,loam,24.6
30.5,74,clay,25.7
27.6,63,silt,23.9
26.2,58,sandy,23.1
29.7,71,loam,24.9
25.8,60,clay,22.6
30.3,76,silt,25.3
29.0,69,sandy,24.4
26.5,62,loam,23.3
28.9,70,clay,24.3
27.7,65,silt,23.7
25.6,59,sandy,22.8
31.1,78,loam,26.1
30.4,73,clay,25.5
28.2,67,silt,24.0
27.1,64,sandy,23.3
25.9,61,loam,22.9
30.6,75,clay,25.8
29.2,72,silt,24.7
26.4,59,sandy,23.4
28.1,68,loam,24.1
27.3,65,clay,23.5
29.6,74,silt,25.0
30.8,76,sandy,25.9
27.9,63,loam,23.8
26.0,60,clay,22.7
29.3,71,silt,24.6
28.5,69,sandy,24.1
27.4,66,loam,23.6
30.7,75,clay,25.7
29.8,73,silt,25.1
26.1,58,sandy,23.0
28.0,67,loam,24.0
31.3,77,clay,26.0
29.4,70,silt,24.8
27.2,63,sandy,23.4
25.7,61,loam,22.8
30.1,75,clay,25.3
28.7,68,silt,24.1
26.3,55,sandy,23.8
31.2,78,loam,26.0
29.9,74,clay,25.1
28.4,69,silt,24.5
27.0,63,sandy,23.2
25.5,61,loam,22.7
30.0,76,clay,25.4
29.4,73,silt,24.8
26.7,59,sandy,23.6
27.8,64,loam,24.0
25.3,60,clay,22.3
30.2,75,silt,25.2
28.6,68,sandy,24.0
26.9,62,loam,23.4
31.0,77,clay,25.9
28.8,70,silt,24.2
27.5,66,sandy,23.8
29.1,72,loam,24.6
30.5,74,clay,25.7
27.6,63,silt,23.9
26.2,58,sandy,23.1
29.7,71,loam,24.9
25.8,60,clay,22.6
30.3,76,silt,25.3
29.0,69,sandy,24.4
26.5,62,loam,23.3
28.9,70,clay,24.3
27.7,65,silt,23.7
25.6,59,sandy,22.8
31.1,78,loam,26.1
30.4,73,clay,25.5
28.2,67,silt,24.0
27.1,64,sandy,23.3
25.9,61,loam,22.9
30.6,75,clay,25.8
29.2,72,silt,24.7
26.4,59,sandy,23.4
28.1,68,loam,24.1
27.3,65,clay,23.5
